month,hour,day_of_week,dow_total,dow_duration
2022-03,20,Thursday,12847,0 days 00:11:01.285981162
2022-03,20,Tuesday,13873,0 days 00:11:07.165429251
2022-03,20,Wednesday,12164,0 days 00:10:51.138359092
2022-03,21,Friday,8093,0 days 00:12:15.574694180
2022-03,21,Monday,6834,0 days 00:11:07.089552238
2022-03,21,Saturday,6141,0 days 00:12:27.673994463
2022-03,21,Sunday,4977,0 days 00:11:19.139843279
2022-03,21,Thursday,9881,0 days 00:11:03.614209088
2022-03,21,Tuesday,10097,0 days 00:11:06.716153312
2022-03,21,Wednesday,9372,0 days 00:11:04.949210413
2022-03,22,Friday,6929,0 days 00:12:14.337711069
2022-03,22,Monday,4884,0 days 00:11:12.440212940
2022-03,22,Saturday,4369,0 days 00:11:36.311512932
2022-03,22,Sunday,3840,0 days 00:11:20.929427083
2022-03,22,Thursday,7418,0 days 00:11:09.247236451
2022-03,22,Tuesday,7975,0 days 00:11:05.634858934
2022-03,22,Wednesday,7687,0 days 00:10:54.361519448
2022-03,23,Friday,6175,0 days 00:12:06.047125506
2022-03,23,Monday,3160,0 days 00:11:24.876898734
2022-03,23,Saturday,4386,0 days 00:11:23.665754673
2022-03,23,Sunday,2755,0 days 00:11:24.098366606
2022-03,23,Thursday,4823,0 days 00:10:52.249222475
2022-03,23,Tuesday,5184,0 days 00:10:48.271604938
2022-03,23,Wednesday,4766,0 days 00:10:47.045740663
2022-04,0,Friday,3618,0 days 00:11:27.760641238
2022-04,0,Monday,1717,0 days 00:10:51.729761211
2022-04,0,Saturday,7720,0 days 00:12:25.187046632
2022-04,0,Sunday,5235,0 days 00:12:25.987010506
2022-04,0,Thursday,3174,0 days 00:11:40.594833018
2022-04,0,Tuesday,1758,0 days 00:10:41.691126279
2022-04,0,Wednesday,2277,0 days 00:11:42.035573122
2022-04,1,Friday,2198,0 days 00:11:07.178343949
2022-04,1,Monday,947,0 days 00:10:04.844772967
2022-04,1,Saturday,5258,0 days 00:11:53.193039178
2022-04,1,Sunday,3825,0 days 00:12:06.782745098
2022-04,1,Thursday,1469,0 days 00:11:48.759019741
2022-04,1,Tuesday,811,0 days 00:10:46.131935881
2022-04,1,Wednesday,1123,0 days 00:10:47.689225289
2022-04,2,Friday,1336,0 days 00:11:35.909431137
2022-04,2,Monday,510,0 days 00:10:20.466666666
2022-04,2,Saturday,3914,0 days 00:11:57.063617782
2022-04,2,Sunday,2723,0 days 00:12:10.803525523
2022-04,2,Thursday,873,0 days 00:11:01.451317296
2022-04,2,Tuesday,455,0 days 00:10:31.101098901
2022-04,2,Wednesday,642,0 days 00:10:15.959501557
2022-04,3,Friday,825,0 days 00:10:00.553939393
2022-04,3,Monday,375,0 days 00:08:26.877333333
2022-04,3,Saturday,2596,0 days 00:11:59.694144838
2022-04,3,Sunday,1955,0 days 00:11:58.695652173
2022-04,3,Thursday,600,0 days 00:09:11.096666666
2022-04,3,Tuesday,364,0 days 00:09:38.379120879
2022-04,3,Wednesday,451,0 days 00:10:16.995565410
2022-04,4,Friday,1017,0 days 00:09:26.643067846
2022-04,4,Monday,743,0 days 00:07:55.230148048
2022-04,4,Saturday,1879,0 days 00:11:21.221394358
2022-04,4,Sunday,1458,0 days 00:11:43.336076817
2022-04,4,Thursday,707,0 days 00:09:13.749646393
2022-04,4,Tuesday,602,0 days 00:07:47.657807308
2022-04,4,Wednesday,601,0 days 00:09:23.916805324
2022-04,5,Friday,2526,0 days 00:08:58.061757719
2022-04,5,Monday,2081,0 days 00:08:57.384430562
2022-04,5,Saturday,1187,0 days 00:10:18.465037910
2022-04,5,Sunday,1098,0 days 00:11:06.641165755
2022-04,5,Thursday,2321,0 days 00:09:01.286514433
2022-04,5,Tuesday,2169,0 days 00:09:03.344398340
2022-04,5,Wednesday,2119,0 days 00:08:45.609249646
2022-04,6,Friday,7679,0 days 00:09:20.042974345
2022-04,6,Monday,6744,0 days 00:09:29.340005931
2022-04,6,Saturday,2486,0 days 00:10:07.631938857
2022-04,6,Sunday,2006,0 days 00:10:51.901794616
2022-04,6,Thursday,7477,0 days 00:09:29.317507021
2022-04,6,Tuesday,7195,0 days 00:09:24.405698401
2022-04,6,Wednesday,6698,0 days 00:09:41.570618094
2022-04,7,Friday,15997,0 days 00:10:40.836469338
2022-04,7,Monday,14636,0 days 00:10:52.275826728
2022-04,7,Saturday,5434,0 days 00:10:39.959330143
2022-04,7,Sunday,4064,0 days 00:11:35.666338582
2022-04,7,Thursday,16439,0 days 00:11:03.096599549
2022-04,7,Tuesday,15959,0 days 00:10:33.851181151
2022-04,7,Wednesday,14545,0 days 00:11:10.102028188
2022-04,8,Friday,24907,0 days 00:11:22.077769301
2022-04,8,Monday,21246,0 days 00:11:34.529323166
2022-04,8,Saturday,10110,0 days 00:11:08.740356083
2022-04,8,Sunday,6716,0 days 00:12:29.330405002
2022-04,8,Thursday,25530,0 days 00:11:26.316607912
2022-04,8,Tuesday,22582,0 days 00:11:09.812195553
2022-04,8,Wednesday,22018,0 days 00:11:52.722953946
2022-04,9,Friday,21656,0 days 00:11:38.123891762
2022-04,9,Monday,15334,0 days 00:11:34.648819616
2022-04,9,Saturday,16190,0 days 00:12:16.091599752
2022-04,9,Sunday,9921,0 days 00:12:41.986694889
2022-04,9,Thursday,18673,0 days 00:11:32.504096824
2022-04,9,Tuesday,15031,0 days 00:11:11.296187878
2022-04,9,Wednesday,15661,0 days 00:11:47.416129238
2022-04,10,Friday,18865,0 days 00:12:48.631380864
2022-04,10,Monday,11375,0 days 00:12:25.869626373
2022-04,10,Saturday,22079,0 days 00:13:15.668191494
2022-04,10,Sunday,13646,0 days 00:13:14.221530118
2022-04,10,Thursday,13616,0 days 00:12:09.581888954
2022-04,10,Tuesday,10272,0 days 00:11:43.509832554
2022-04,10,Wednesday,11541,0 days 00:12:21.523871414
2022-04,11,Friday,21160,0 days 00:13:20.598629489
2022-04,11,Monday,11785,0 days 00:12:33.384556639
2022-04,11,Saturday,26978,0 days 00:14:20.564015123
2022-04,11,Sunday,15808,0 days 00:14:03.700025303
2022-04,11,Thursday,13958,0 days 00:12:34.062902994
2022-04,11,Tuesday,11758,0 days 00:12:32.333304983
2022-04,11,Wednesday,12017,0 days 00:12:58.062744445
2022-04,12,Friday,24615,0 days 00:13:22.979321551
2022-04,12,Monday,13443,0 days 00:12:28.479878003
2022-04,12,Saturday,31768,0 days 00:15:20.345914127
2022-04,12,Sunday,16656,0 days 00:14:16.857829010
2022-04,12,Thursday,13719,0 days 00:12:58.031416283
2022-04,12,Tuesday,13602,0 days 00:12:19.137038670
2022-04,12,Wednesday,14402,0 days 00:12:38.026940702
2022-04,13,Friday,27154,0 days 00:13:39.362303896
2022-04,13,Monday,14272,0 days 00:12:18.294913116
2022-04,13,Saturday,35096,0 days 00:15:44.986893093
2022-04,13,Sunday,18118,0 days 00:14:51.024119660
2022-04,13,Thursday,14313,0 days 00:12:55.543352197
2022-04,13,Tuesday,15146,0 days 00:12:32.111448567
2022-04,13,Wednesday,15824,0 days 00:12:43.472320525
2022-04,14,Friday,30210,0 days 00:13:59.674412446
2022-04,14,Monday,15930,0 days 00:12:36.387570621
2022-04,14,Saturday,36026,0 days 00:16:33.541275745
2022-04,14,Sunday,18839,0 days 00:14:53.672965656
2022-04,14,Thursday,16382,0 days 00:13:03.313148577
2022-04,14,Tuesday,16999,0 days 00:12:59.197835166
2022-04,14,Wednesday,18046,0 days 00:12:57.822287487
2022-04,15,Friday,33024,0 days 00:14:13.095597141
2022-04,15,Monday,18326,0 days 00:12:36.015606242
2022-04,15,Saturday,37093,0 days 00:16:46.219556250
2022-04,15,Sunday,18982,0 days 00:14:37.499104414
2022-04,15,Thursday,17673,0 days 00:13:02.951677700
2022-04,15,Tuesday,20219,0 days 00:13:01.081952618
2022-04,15,Wednesday,20262,0 days 00:13:09.068206494
2022-04,16,Friday,36734,0 days 00:14:13.223416997
2022-04,16,Monday,21401,0 days 00:12:33.265314704
2022-04,16,Saturday,36078,0 days 00:16:26.539248295
2022-04,16,Sunday,19437,0 days 00:14:25.036631167
2022-04,16,Thursday,20078,0 days 00:12:59.337334395
2022-04,16,Tuesday,24591,0 days 00:13:27.099182627
2022-04,16,Wednesday,24072,0 days 00:13:04.934155865
2022-04,17,Friday,42939,0 days 00:14:13.765970330
2022-04,17,Monday,29295,0 days 00:12:32.430517153
2022-04,17,Saturday,34213,0 days 00:15:49.862099202
2022-04,17,Sunday,17805,0 days 00:13:58.361471496
2022-04,17,Thursday,26559,0 days 00:12:29.368801536
2022-04,17,Tuesday,34794,0 days 00:13:38.759814910
2022-04,17,Wednesday,34301,0 days 00:13:24.405206845
2022-04,18,Friday,40094,0 days 00:13:52.627425549
2022-04,18,Monday,27872,0 days 00:11:59.537385189
2022-04,18,Saturday,29286,0 days 00:14:58.329099228
2022-04,18,Sunday,16228,0 days 00:13:11.836886862
2022-04,18,Thursday,22818,0 days 00:11:58.388640546
2022-04,18,Tuesday,32142,0 days 00:13:15.615611971
2022-04,18,Wednesday,34472,0 days 00:13:10.200858667
2022-04,19,Friday,29576,0 days 00:13:30.707397890
2022-04,19,Monday,17833,0 days 00:11:33.496046655
2022-04,19,Saturday,24243,0 days 00:14:06.545972033
2022-04,19,Sunday,12324,0 days 00:12:21.017607919
2022-04,19,Thursday,14419,0 days 00:11:45.015396352
2022-04,19,Tuesday,20624,0 days 00:12:54.746072536
2022-04,19,Wednesday,24056,0 days 00:12:24.842284669
2022-04,20,Friday,17965,0 days 00:13:07.916504313
2022-04,20,Monday,11544,0 days 00:11:01.684164934
2022-04,20,Saturday,14457,0 days 00:13:25.006432869
2022-04,20,Sunday,8444,0 days 00:11:24.912719090
2022-04,20,Thursday,10965,0 days 00:11:39.030278157
2022-04,20,Tuesday,13143,0 days 00:12:11.331811610
2022-04,20,Wednesday,14632,0 days 00:11:51.061509021
2022-04,21,Friday,12694,0 days 00:12:49.373798645
2022-04,21,Monday,8036,0 days 00:11:08.276381284
2022-04,21,Saturday,9515,0 days 00:13:14.703100367
2022-04,21,Sunday,6081,0 days 00:11:16.694129255
2022-04,21,Thursday,8750,0 days 00:11:38.453257142
2022-04,21,Tuesday,9653,0 days 00:12:04.521495908
2022-04,21,Wednesday,10623,0 days 00:11:46.643603501
2022-04,22,Friday,11161,0 days 00:12:52.996236896
2022-04,22,Monday,5194,0 days 00:11:18.995764343
2022-04,22,Saturday,8619,0 days 00:13:16.775728042
2022-04,22,Sunday,4499,0 days 00:11:09.665481218
2022-04,22,Thursday,7134,0 days 00:11:36.852677319
2022-04,22,Tuesday,6955,0 days 00:11:52.700647016
2022-04,22,Wednesday,8697,0 days 00:11:44.183281591
2022-04,23,Friday,9735,0 days 00:12:36.146687211
2022-04,23,Monday,3262,0 days 00:11:44.012568976
2022-04,23,Saturday,8605,0 days 00:12:54.773271353
2022-04,23,Sunday,2939,0 days 00:10:55.589316093
2022-04,23,Thursday,5323,0 days 00:11:40.433026488
2022-04,23,Tuesday,4187,0 days 00:12:02.368282780
2022-04,23,Wednesday,5630,0 days 00:11:42.242273534
2022-05,0,Friday,5860,0 days 00:12:54.728668941
2022-05,0,Monday,4908,0 days 00:13:23.466992665
2022-05,0,Saturday,5977,0 days 00:12:37.665551279
2022-05,0,Sunday,8480,0 days 00:13:57.104363207
2022-05,0,Thursday,4105,0 days 00:12:10.035566382
2022-05,0,Tuesday,4208,0 days 00:12:54.829610266
2022-05,0,Wednesday,3779,0 days 00:11:56.341624768
2022-05,1,Friday,3283,0 days 00:12:19.556807797
2022-05,1,Monday,2676,0 days 00:13:14.406203288
2022-05,1,Saturday,3901,0 days 00:12:42.303255575
2022-05,1,Sunday,6215,0 days 00:13:45.085438455
2022-05,1,Thursday,2025,0 days 00:11:53.699753086
2022-05,1,Tuesday,2125,0 days 00:12:40.520470588
2022-05,1,Wednesday,1771,0 days 00:11:44.622811970
2022-05,2,Friday,2031,0 days 00:12:55.198424421
2022-05,2,Monday,1619,0 days 00:13:04.104385423
2022-05,2,Saturday,3172,0 days 00:12:45.035308953
2022-05,2,Sunday,4346,0 days 00:13:04.953750575
2022-05,2,Thursday,1184,0 days 00:11:27.846283783
2022-05,2,Tuesday,1276,0 days 00:12:03.710815047
2022-05,2,Wednesday,970,0 days 00:12:12.571134020
2022-05,3,Friday,1177,0 days 00:12:38.822429906
2022-05,3,Monday,1092,0 days 00:11:26.090659340
2022-05,3,Saturday,2086,0 days 00:12:37.323106423
2022-05,3,Sunday,2934,0 days 00:12:40.374573960
2022-05,3,Thursday,698,0 days 00:10:38.130372492
2022-05,3,Tuesday,819,0 days 00:11:08.448107448
2022-05,3,Wednesday,660,0 days 00:10:31.295454545
2022-05,4,Friday,1161,0 days 00:11:04.908699397
2022-05,4,Monday,1164,0 days 00:10:58.548109965
2022-05,4,Saturday,1471,0 days 00:12:26.350101971
2022-05,4,Sunday,2205,0 days 00:13:07.981405895
2022-05,4,Thursday,881,0 days 00:08:55.501702610
2022-05,4,Tuesday,1045,0 days 00:09:27.937799043
2022-05,4,Wednesday,804,0 days 00:09:39.691542288
2022-05,5,Friday,2540,0 days 00:09:35.333464566
2022-05,5,Monday,2869,0 days 00:09:44.929243638
2022-05,5,Saturday,1377,0 days 00:11:05.416848220
2022-05,5,Sunday,1440,0 days 00:11:59.435416666
2022-05,5,Thursday,2419,0 days 00:09:09.319140140
2022-05,5,Tuesday,4058,0 days 00:09:35.950961064
2022-05,5,Wednesday,2640,0 days 00:09:25.383712121
2022-05,6,Friday,7640,0 days 00:10:08.267015706
2022-05,6,Monday,7809,0 days 00:10:04.491996414
2022-05,6,Saturday,2823,0 days 00:10:35.102373361
2022-05,6,Sunday,2915,0 days 00:10:54.110120068
2022-05,6,Thursday,7670,0 days 00:10:02.283572359
2022-05,6,Tuesday,12980,0 days 00:10:14.755624036
2022-05,6,Wednesday,9023,0 days 00:09:56.392441538
2022-05,7,Friday,15161,0 days 00:10:47.719015896
2022-05,7,Monday,16756,0 days 00:11:35.147827643
2022-05,7,Saturday,4780,0 days 00:11:28.020711297
2022-05,7,Sunday,5372,0 days 00:11:39.756887565
2022-05,7,Thursday,17879,0 days 00:11:09.960959785
2022-05,7,Tuesday,27301,0 days 00:11:31.183656276
2022-05,7,Wednesday,19793,0 days 00:11:18.358813722
2022-05,8,Friday,20497,0 days 00:11:21.013123871
2022-05,8,Monday,25459,0 days 00:12:12.248988569
2022-05,8,Saturday,8067,0 days 00:11:46.948679806
2022-05,8,Sunday,9556,0 days 00:12:28.093972373
2022-05,8,Thursday,27183,0 days 00:11:45.308538424
2022-05,8,Tuesday,38886,0 days 00:12:19.938975466
2022-05,8,Wednesday,29506,0 days 00:11:53.041855893
2022-05,9,Friday,17011,0 days 00:11:38.933219681
2022-05,9,Monday,20885,0 days 00:12:27.434043571
2022-05,9,Saturday,12831,0 days 00:12:29.384069830
2022-05,9,Sunday,15887,0 days 00:13:28.458110404
2022-05,9,Thursday,19669,0 days 00:11:35.873252325
2022-05,9,Tuesday,26527,0 days 00:12:29.225656877
2022-05,9,Wednesday,19795,0 days 00:11:57.765950997
2022-05,10,Friday,14971,0 days 00:12:28.823391890
2022-05,10,Monday,18429,0 days 00:13:41.683162407
2022-05,10,Saturday,17528,0 days 00:13:32.300034230
2022-05,10,Sunday,23513,0 days 00:14:27.269127716
2022-05,10,Thursday,15554,0 days 00:12:29.488555998
2022-05,10,Tuesday,19472,0 days 00:13:07.822052177
2022-05,10,Wednesday,14553,0 days 00:12:36.034906892
2022-05,11,Friday,16228,0 days 00:12:59.064641360
2022-05,11,Monday,19797,0 days 00:14:14.855129565
2022-05,11,Saturday,21757,0 days 00:14:36.716596957
2022-05,11,Sunday,30227,0 days 00:15:13.518807688
2022-05,11,Thursday,16552,0 days 00:13:15.146085065
2022-05,11,Tuesday,20408,0 days 00:13:35.700264602
2022-05,11,Wednesday,15739,0 days 00:13:04.456445771
2022-05,12,Friday,18856,0 days 00:13:01.803616885
2022-05,12,Monday,22324,0 days 00:14:33.808681239
2022-05,12,Saturday,22294,0 days 00:15:12.397640620
2022-05,12,Sunday,34942,0 days 00:16:08.868954267
2022-05,12,Thursday,19569,0 days 00:13:03.692166181
2022-05,12,Tuesday,23407,0 days 00:13:24.655786730
2022-05,12,Wednesday,18658,0 days 00:13:00.617322328
2022-05,13,Friday,21092,0 days 00:13:16.427555471
2022-05,13,Monday,23393,0 days 00:14:29.419142478
2022-05,13,Saturday,21485,0 days 00:15:27.944286711
2022-05,13,Sunday,38282,0 days 00:16:37.099393971
2022-05,13,Thursday,20956,0 days 00:13:30.729003626
2022-05,13,Tuesday,24967,0 days 00:13:24.714062562
2022-05,13,Wednesday,20413,0 days 00:12:59.651496595
2022-05,14,Friday,23993,0 days 00:13:42.964906431
2022-05,14,Monday,26632,0 days 00:14:32.092595373
2022-05,14,Saturday,23945,0 days 00:16:03.979870536
2022-05,14,Sunday,39792,0 days 00:16:50.434811017
2022-05,14,Thursday,24042,0 days 00:13:32.098951834
2022-05,14,Tuesday,28002,0 days 00:13:30.699557174
2022-05,14,Wednesday,23683,0 days 00:13:14.371996790
2022-05,15,Friday,25776,0 days 00:13:29.329686530
2022-05,15,Monday,30682,0 days 00:14:23.959031353
2022-05,15,Saturday,22718,0 days 00:15:18.852891979
2022-05,15,Sunday,39958,0 days 00:16:50.037514390
2022-05,15,Thursday,28422,0 days 00:13:36.340862711
2022-05,15,Tuesday,32581,0 days 00:13:22.752954175
2022-05,15,Wednesday,26832,0 days 00:13:37.513305008
2022-05,16,Friday,24518,0 days 00:12:34.251733420
2022-05,16,Monday,33902,0 days 00:14:21.493333726
2022-05,16,Saturday,18177,0 days 00:15:24.107663530
2022-05,16,Sunday,38194,0 days 00:16:36.297140912
2022-05,16,Thursday,32982,0 days 00:14:00.356740040
2022-05,16,Tuesday,38487,0 days 00:13:37.641541299
2022-05,16,Wednesday,31983,0 days 00:13:46.074195666
2022-05,17,Friday,16562,0 days 00:11:48.605482429
2022-05,17,Monday,42303,0 days 00:14:08.513155095
2022-05,17,Saturday,18565,0 days 00:15:15.573390789
2022-05,17,Sunday,37246,0 days 00:16:11.717123986
2022-05,17,Thursday,44343,0 days 00:14:09.986153395
2022-05,17,Tuesday,53957,0 days 00:13:45.204347906
2022-05,17,Wednesday,44606,0 days 00:13:58.257566246
2022-05,18,Friday,14819,0 days 00:11:56.678790741
2022-05,18,Monday,38978,0 days 00:14:00.308866540
2022-05,18,Saturday,18775,0 days 00:15:24.822476697
2022-05,18,Sunday,34721,0 days 00:15:41.018259842
2022-05,18,Thursday,44362,0 days 00:14:05.532437671
2022-05,18,Tuesday,53709,0 days 00:13:43.031167960
2022-05,18,Wednesday,44675,0 days 00:13:53.150263010
2022-05,19,Friday,14576,0 days 00:12:31.919936882
2022-05,19,Monday,30158,0 days 00:13:26.569334836
2022-05,19,Saturday,17838,0 days 00:15:20.754008296
2022-05,19,Sunday,28266,0 days 00:15:25.865492110
2022-05,19,Thursday,32169,0 days 00:13:43.294538220
2022-05,19,Tuesday,38719,0 days 00:13:27.280663240
2022-05,19,Wednesday,32624,0 days 00:13:37.232773418
2022-05,20,Friday,11481,0 days 00:12:57.522167058
2022-05,20,Monday,20531,0 days 00:13:34.633627197
2022-05,20,Saturday,13896,0 days 00:14:56.673503166
2022-05,20,Sunday,19909,0 days 00:14:39.102415992
2022-05,20,Thursday,21460,0 days 00:13:35.445945945
2022-05,20,Tuesday,26390,0 days 00:13:12.445320197
2022-05,20,Wednesday,21368,0 days 00:13:18.769561961
2022-05,21,Friday,9185,0 days 00:12:59.773434948
2022-05,21,Monday,15237,0 days 00:12:58.148454420
2022-05,21,Saturday,11182,0 days 00:14:18.164729028
2022-05,21,Sunday,14073,0 days 00:14:11.275847367
2022-05,21,Thursday,15597,0 days 00:13:15.623453228
2022-05,21,Tuesday,18222,0 days 00:12:46.760344638
2022-05,21,Wednesday,14818,0 days 00:12:55.447766230
2022-05,22,Friday,8878,0 days 00:13:23.717503942
2022-05,22,Monday,11584,0 days 00:13:16.448722375
2022-05,22,Saturday,9812,0 days 00:14:11.967896453
2022-05,22,Sunday,11031,0 days 00:13:45.837276765
2022-05,22,Thursday,13042,0 days 00:13:02.664008587
2022-05,22,Tuesday,13839,0 days 00:12:47.882794999
2022-05,22,Wednesday,12398,0 days 00:13:10.309888691
2022-05,23,Friday,7886,0 days 00:13:06.673852396
2022-05,23,Monday,7427,0 days 00:12:53.630806516
2022-05,23,Saturday,7935,0 days 00:13:56.533333333
2022-05,23,Sunday,7719,0 days 00:13:48.687265189
2022-05,23,Thursday,9551,0 days 00:12:53.109203224
2022-05,23,Tuesday,8766,0 days 00:12:17.089778690
2022-05,23,Wednesday,8241,0 days 00:12:37.803664603
2022-06,0,Friday,7263,0 days 00:13:12.282252512
2022-06,0,Monday,5096,0 days 00:13:30.595761381
2022-06,0,Saturday,12005,0 days 00:14:14.654977092
2022-06,0,Sunday,10624,0 days 00:14:23.439382530
2022-06,0,Thursday,6771,0 days 00:13:11.533156106
2022-06,0,Tuesday,4963,0 days 00:13:12.012290953
2022-06,0,Wednesday,6039,0 days 00:13:10.179499917
2022-06,1,Friday,3978,0 days 00:12:40.276018099
2022-06,1,Monday,2591,0 days 00:13:19.942107294
2022-06,1,Saturday,8389,0 days 00:13:42.383597568
2022-06,1,Sunday,7862,0 days 00:14:09.577588399
2022-06,1,Thursday,3491,0 days 00:12:18.124606130
2022-06,1,Tuesday,2498,0 days 00:12:49.879103282
2022-06,1,Wednesday,3087,0 days 00:13:21.130223517
2022-06,2,Friday,2329,0 days 00:13:01.751395448
2022-06,2,Monday,1671,0 days 00:13:27.342908438
2022-06,2,Saturday,5789,0 days 00:13:53.736569355
2022-06,2,Sunday,5353,0 days 00:14:01.029329348
2022-06,2,Thursday,1846,0 days 00:12:45.145178764
2022-06,2,Tuesday,1476,0 days 00:12:58.705284552
2022-06,2,Wednesday,1773,0 days 00:12:57.591652566
2022-06,3,Friday,1499,0 days 00:12:19.111407605
2022-06,3,Monday,1122,0 days 00:12:39.586452762
2022-06,3,Saturday,3733,0 days 00:13:36.922314492
2022-06,3,Sunday,3605,0 days 00:13:48.146463245
2022-06,3,Thursday,1137,0 days 00:11:00.166226912
2022-06,3,Tuesday,894,0 days 00:12:06.217002237
2022-06,3,Wednesday,1116,0 days 00:12:32.451612903
2022-06,4,Friday,1360,0 days 00:11:01.761029411
2022-06,4,Monday,1103,0 days 00:11:30.467815049
2022-06,4,Saturday,2625,0 days 00:13:41.307428571
2022-06,4,Sunday,2338,0 days 00:13:29.596663815
2022-06,4,Thursday,1087,0 days 00:10:45.830726770
2022-06,4,Tuesday,1141,0 days 00:10:38.467134092
2022-06,4,Wednesday,1320,0 days 00:10:41.741666666
2022-06,5,Friday,3155,0 days 00:09:46.684310618
2022-06,5,Monday,3112,0 days 00:10:17.294665809
2022-06,5,Saturday,1902,0 days 00:11:52.509463722
2022-06,5,Sunday,1694,0 days 00:12:25.563754427
2022-06,5,Thursday,3468,0 days 00:10:06.469434832
2022-06,5,Tuesday,3837,0 days 00:10:17.193640865
2022-06,5,Wednesday,4613,0 days 00:09:58.252113592
2022-06,6,Friday,9299,0 days 00:10:33.829228949
2022-06,6,Monday,8669,0 days 00:10:47.467412619
2022-06,6,Saturday,4093,0 days 00:11:23.678964085
2022-06,6,Sunday,3088,0 days 00:11:12.981865284
2022-06,6,Thursday,11347,0 days 00:10:11.141887723
2022-06,6,Tuesday,11579,0 days 00:10:47.670437861
2022-06,6,Wednesday,14019,0 days 00:10:32.786147371
2022-06,7,Friday,18291,0 days 00:11:22.259963916
2022-06,7,Monday,17016,0 days 00:11:39.305300893
2022-06,7,Saturday,7344,0 days 00:12:03.238153594
2022-06,7,Sunday,5153,0 days 00:11:43.036871725
2022-06,7,Thursday,21313,0 days 00:11:17.614836015
2022-06,7,Tuesday,22752,0 days 00:11:32.266789732
2022-06,7,Wednesday,27916,0 days 00:11:31.168147299
2022-06,8,Friday,27038,0 days 00:11:40.173607515
2022-06,8,Monday,23243,0 days 00:12:02.965150798
2022-06,8,Saturday,12041,0 days 00:12:43.681920106
2022-06,8,Sunday,7490,0 days 00:12:37.691455273
2022-06,8,Thursday,33064,0 days 00:11:50.241924751
2022-06,8,Tuesday,33116,0 days 00:12:07.829629182
2022-06,8,Wednesday,42172,0 days 00:12:04.244048183
2022-06,9,Friday,22118,0 days 00:11:51.785649697
2022-06,9,Monday,18795,0 days 00:12:13.321202447
2022-06,9,Saturday,18620,0 days 00:13:17.196723952
2022-06,9,Sunday,12560,0 days 00:13:15.961226114
2022-06,9,Thursday,27846,0 days 00:11:55.079903756
2022-06,9,Tuesday,23732,0 days 00:12:22.677060509
2022-06,9,Wednesday,30374,0 days 00:12:05.584249687
2022-06,10,Friday,19195,0 days 00:12:59.253399322
2022-06,10,Monday,15549,0 days 00:13:08.568460994
2022-06,10,Saturday,24872,0 days 00:14:17.434062399
2022-06,10,Sunday,18584,0 days 00:13:51.579746018
2022-06,10,Thursday,22537,0 days 00:12:32.237387407
2022-06,10,Tuesday,17315,0 days 00:13:02.922206179
2022-06,10,Wednesday,22697,0 days 00:12:56.556901793
2022-06,11,Friday,21513,0 days 00:13:28.294426625
2022-06,11,Monday,18112,0 days 00:13:48.002374116
2022-06,11,Saturday,30223,0 days 00:15:07.390034080
2022-06,11,Sunday,22698,0 days 00:14:48.774429465
2022-06,11,Thursday,23733,0 days 00:13:00.929507436
2022-06,11,Tuesday,18336,0 days 00:13:18.610383944
2022-06,11,Wednesday,23531,0 days 00:13:16.186732395
2022-06,12,Friday,24943,0 days 00:13:19.320851541
2022-06,12,Monday,19644,0 days 00:13:48.147271431
2022-06,12,Saturday,33588,0 days 00:15:39.387459807
2022-06,12,Sunday,27058,0 days 00:15:30.348880183
2022-06,12,Thursday,27292,0 days 00:12:56.084750109
2022-06,12,Tuesday,20935,0 days 00:13:07.928970623
2022-06,12,Wednesday,26952,0 days 00:13:09.044486494
2022-06,13,Friday,27756,0 days 00:13:26.032605562
2022-06,13,Monday,21587,0 days 00:14:00.334877472
2022-06,13,Saturday,34998,0 days 00:16:11.752900165
2022-06,13,Sunday,30968,0 days 00:16:21.517889434
2022-06,13,Thursday,29204,0 days 00:12:58.842829749
2022-06,13,Tuesday,22271,0 days 00:13:17.927349467
2022-06,13,Wednesday,28286,0 days 00:13:05.119140210
2022-06,14,Friday,31176,0 days 00:13:42.451853990
2022-06,14,Monday,22418,0 days 00:14:17.808502096
2022-06,14,Saturday,35284,0 days 00:16:25.906841627
2022-06,14,Sunday,32107,0 days 00:16:41.105989348
2022-06,14,Thursday,31493,0 days 00:13:16.170545835
2022-06,14,Tuesday,25101,0 days 00:13:43.206485797
2022-06,14,Wednesday,31184,0 days 00:13:14.585171883
2022-06,15,Friday,33693,0 days 00:14:09.546433977
2022-06,15,Monday,24758,0 days 00:14:02.304790370
2022-06,15,Saturday,34472,0 days 00:16:22.888837317
2022-06,15,Sunday,33095,0 days 00:16:41.511618069
2022-06,15,Thursday,34944,0 days 00:13:15.049708104
2022-06,15,Tuesday,28005,0 days 00:13:49.145295482
2022-06,15,Wednesday,32751,0 days 00:13:20.322310769
2022-06,16,Friday,37656,0 days 00:14:08.472514340
2022-06,16,Monday,29192,0 days 00:14:01.197656892
2022-06,16,Saturday,32544,0 days 00:16:13.357055063
2022-06,16,Sunday,33188,0 days 00:16:31.544684825
2022-06,16,Thursday,38351,0 days 00:13:09.196213918
2022-06,16,Tuesday,33633,0 days 00:13:47.714833645
2022-06,16,Wednesday,40574,0 days 00:13:28.694089811
2022-06,17,Friday,43490,0 days 00:14:23.475511611
2022-06,17,Monday,40363,0 days 00:14:06.212347942
2022-06,17,Saturday,32449,0 days 00:15:58.243613054
