month,hour,day_of_week,dow_total,dow_duration
2022-01,13,Tuesday,8669,0 days 00:10:34.934709885
2022-01,13,Wednesday,9384,0 days 00:10:36.183503836
2022-01,14,Friday,9590,0 days 00:10:45.683211678
2022-01,14,Monday,11284,0 days 00:10:42.881336405
2022-01,14,Saturday,9084,0 days 00:11:43.126376045
2022-01,14,Sunday,13437,0 days 00:12:53.397112450
2022-01,14,Thursday,11696,0 days 00:11:08.653984268
2022-01,14,Tuesday,9868,0 days 00:11:03.921970004
2022-01,14,Wednesday,11319,0 days 00:11:21.385811467
2022-01,15,Friday,10649,0 days 00:10:50.842332613
2022-01,15,Monday,12549,0 days 00:10:56.972029643
2022-01,15,Saturday,9921,0 days 00:12:18.019252091
2022-01,15,Sunday,13206,0 days 00:12:52.242768438
2022-01,15,Thursday,13395,0 days 00:11:18.699514744
2022-01,15,Tuesday,11402,0 days 00:10:58.525171022
2022-01,15,Wednesday,12673,0 days 00:11:33.520318787
2022-01,16,Friday,11475,0 days 00:10:57.031111111
2022-01,16,Monday,13602,0 days 00:11:09.700705778
2022-01,16,Saturday,9566,0 days 00:12:10.511499059
2022-01,16,Sunday,12047,0 days 00:12:36.843363492
2022-01,16,Thursday,14631,0 days 00:11:32.179960358
2022-01,16,Tuesday,12702,0 days 00:11:19.677924736
2022-01,16,Wednesday,14438,0 days 00:11:42.186521678
2022-01,17,Friday,12360,0 days 00:10:53.393851132
2022-01,17,Monday,14719,0 days 00:10:53.189143284
2022-01,17,Saturday,7175,0 days 00:11:17.816864111
2022-01,17,Sunday,9183,0 days 00:11:33.306871392
2022-01,17,Thursday,16781,0 days 00:11:30.988022167
2022-01,17,Tuesday,15067,0 days 00:11:04.186500298
2022-01,17,Wednesday,16960,0 days 00:11:30.670872641
2022-01,18,Friday,10794,0 days 00:10:30.724383916
2022-01,18,Monday,13450,0 days 00:10:34.493977695
2022-01,18,Saturday,5980,0 days 00:11:04.240133779
2022-01,18,Sunday,7382,0 days 00:11:00.553508534
2022-01,18,Thursday,16286,0 days 00:10:56.175058332
2022-01,18,Tuesday,14214,0 days 00:10:38.575911073
2022-01,18,Wednesday,16114,0 days 00:11:07.225145835
2022-01,19,Friday,7992,0 days 00:10:30.135385385
2022-01,19,Monday,9640,0 days 00:10:09.367116182
2022-01,19,Saturday,4945,0 days 00:10:39.431142568
